id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,hit,year_hit
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),Flockaveli,6MQtWELG7aRX7CkAzQ6nLM,"Waka Flocka Flame, Roscoe Dash, Wale","6f4XkbvYlXMH0QgVRzW0sM, 0bfX8pF8kuHNCs57Ms4jZb, 67nwj3Y5sZQLl72VNUHEYE",5,1,TRUE,0.76,0.595,1,-6.366,1,0.0391,0.00544,0,0.241,0.361,131.497,263773,4,2010,1,2011
04OxTCLGgDKfO0MMA2lcxv,Blind Faith,No More Idols,245j9BaZFuEso2vfLRVnQr,"Chase & Status, Liam Bailey","3jNkaOXasoc7RsxdchvEVq, 022EiWsch2zvty0qBUksDO",4,1,FALSE,0.45,0.846,9,-4.712,0,0.0472,0.00523,0,0.228,0.402,140.042,233667,4,2011,1,2011
05ZACkzW8YbRq3eFgIfSNB,Springsteen,Chief,5dtw6CoMhbrSj01YUvdQOF,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,9,1,FALSE,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-5,0.185,0.927,104.023,263387,4,2011,1,2011
0aBKFfdyOD1Ttvgv0cfjjJ,More - RedOne Jimmy Joker Remix,More,5GNPZT1Bxq0EP7PQDQmK3U,USHER,23zg3TcAtWQy7J6upgbUnj,1,1,FALSE,0.551,0.893,7,-2.628,1,0.0543,0.00166,0,0.348,0.794,125.083,219987,4,2010,1,2011
0GO8y8jQk1PkHzS31d699N,Tongue Tied,Never Trust a Happy Song,3oylWMc9TTC6Nx4I6U3axc,GROUPLOVE,3kVUvbeRdcrqQ3oHk5hPdx,2,1,FALSE,0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,218013,4,2011,1,2011
0gY2iq0xJPRoIB1PScKSw4,Honey Bee,Red River Blue (Deluxe Edition),1WXCjIDp84rJN6Sa1Um9kJ,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,1,1,FALSE,0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-6,0.121,0.723,205.57,210720,4,2011,1,2011
0HZhYMZOcUzZKSFwPOti6m,Jar of Hearts,lovestrong.,3XNK8vPk3O1rjhDZyOMJ6n,Christina Perri,7H55rcKCfwqkyDFH9wpKM6,5,1,FALSE,0.349,0.348,3,-6.142,1,0.0316,0.726,0,0.12,0.0886,74.541,246587,4,2011,1,2011
0IF7bHzCXCZoKNog5vBC4g,Wherever You Will Go,Wherever You Will Go,3cp5RYHZb5KUyglxaHd3Lh,Charlene Soraia,0qk8MxMzgnfFECvDO3cc0X,1,1,FALSE,0.597,0.115,9,-9.217,1,0.0334,0.82,2.15e-4,0.111,0.128,111.202,197577,4,2011,1,2011
0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem,Sorry For Party Rocking,1MbBSfcqLg2OjkeZ1RMSIq,"LMFAO, Lauren Bennett, GoonRock","3sgFRtyBnxXD5ESfmbK4dl, 2jLE4BoXHriQ96JagEtiDP, 53sIBaVjXQhfH89Vu6nEGh",3,1,FALSE,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,262173,4,2011,1,2011
0JNdS1n0ifOP25XvhwAMgM,The Edge Of Glory,Born This Way,2KkMVsxymoNR7hRmBcMttd,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,14,1,FALSE,0.581,0.772,9,-6.544,1,0.0401,3.43e-4,0.0191,0.11,0.361,127.952,320587,4,2011,1,2011
